y_true,y_pred
47,49
40,32
30,37
19,31
58,53
43,27
24,36
26,29
53,76
38,17
28,34
38,39
58,73
33,34
66,43
30,36
18,33
35,32
61,23
74,37
46,34
56,37
28,23
37,24
37,39
28,28
26,46
24,30
70,23
47,39
69,33
24,26
31,90
28,28
51,34
49,23
34,46
29,33
48,46
40,25
50,43
39,37
25,36
30,26
28,30
56,26
37,35
34,19
32,25
28,34
27,43
33,20
52,49
24,35
35,33
35,37
39,43
19,45
59,24
25,23
26,38
32,28
44,31
58,25
29,23
38,23
39,27
33,38
36,36
37,31
24,23
35,40
24,25
35,37
57,38
25,68
22,33
30,33
52,34
72,19
38,37
48,23
58,34
49,34
41,31
29,36
23,47
51,33
46,43
43,34
53,23
26,24
44,34
73,17
40,23
22,26
59,36
24,23
51,35
37,23
54,41
68,25
25,37
26,25
31,31
29,41
51,47
41,36
28,30
30,38
24,32
43,38
30,44
28,47
27,26
64,43
20,24
37,29
31,23
47,33
52,37
44,39
30,46
51,37
24,35
40,31
18,28
40,43
37,33
23,40
19,35
69,36
26,27
46,25
31,33
65,26
39,45
44,36
35,39
75,37
52,48
66,42
34,35
61,32
41,28
39,41
27,37
66,30
33,33
57,23
35,23
42,38
48,19
40,38
30,29
32,51
35,33
23,35
59,24
26,29
28,84
26,49
31,33
34,37
25,34
38,35
49,36
52,25
19,23
42,30
47,35
22,41
49,31
25,35
75,29
52,28
45,23
32,19
37,22
32,36
30,34
49,37
27,30
47,36
57,35
33,45
31,27
21,33
23,38
61,41
28,17
43,43
49,33
45,23
50,71
23,23
76,37
32,36
43,45
50,35
50,25
40,33
22,34
33,22
24,36
21,23
30,29
46,34
28,43
41,41
17,40
68,37
27,33
40,47
22,23
40,23
17,26
52,30
54,32
54,34
40,38
45,25
19,28
29,33
40,79
34,42
52,43
53,46
56,33
39,50
22,23
54,35
62,36
41,26
33,36
65,29
84,31
17,20
32,29
57,33
38,36
25,25
42,30
40,18
68,40
25,33
35,50
35,23
50,24
30,27
30,36
46,36
27,30
51,25
39,25
43,38
29,25
46,34
36,33
63,31
23,34
17,27
32,35
44,25
37,44
32,36
48,26
35,31
42,33
53,37
42,17
40,24
30,25
30,33
42,28
58,35
37,32
20,21
52,33
29,34
25,63
53,33
49,33
51,33
42,19
27,63
30,34
50,34
21,36
49,38
59,51
29,31
57,43
61,23
35,36
38,33
45,23
18,32
27,33
39,30
42,25
29,35
65,63
30,22
30,59
61,33
33,45
42,31
34,40
22,34
69,33
41,28
31,35
48,33
52,32
31,35
18,36
62,23
52,34
41,36
34,34
74,53
37,25
34,37
27,28
49,22
43,41
36,35
55,52
45,25
67,23
24,36
30,22
51,41
26,23
39,23
29,23
42,33
37,33
59,40
41,33
64,24
42,44
26,40
21,26
39,35
47,36
22,37
36,37
46,32
38,33
53,24
22,25
51,37
42,35
64,29
42,41
57,40
29,25
28,40
68,35
28,31
18,27
65,44
35,38
45,24
31,43
51,35
39,42
20,33
48,25
49,47
26,28
28,38
37,57
54,33
37,76
21,33
27,26
53,43
47,33
28,31
39,31
63,23
36,21
37,33
34,40
19,45
36,39
35,38
60,35
34,27
34,33
37,34
36,40
41,40
30,23
45,28
42,24
19,23
52,32
29,25
34,34
30,25
20,31
52,41
33,36
38,36
37,48
24,26
34,31
25,34
36,40
38,45
29,33
72,33
38,35
75,38
42,23
21,26
27,35
53,37
19,26
30,30
67,61
25,32
49,37
18,44
21,27
36,40
27,43
21,36
37,47
20,28
17,23
18,34
32,70
62,34
33,23
39,40
36,34
51,33
33,45
21,24
69,48
49,50
67,23
28,43
19,28
56,42
45,33
38,41
43,22
44,22
38,44
26,20
31,46
37,38
32,40
27,35
50,36
31,38
42,35
52,35
36,31
36,23
45,67
32,33
19,27
50,38
60,21
28,36
23,24
18,23
46,26
22,41
51,44
21,23
35,70
48,37
18,30
39,82
25,35
34,41
44,24
24,25
20,23
36,40
31,25
62,47
25,42
21,23
31,35
20,25
48,28
54,34
72,23
23,25
44,42
44,32
25,25
33,39
53,28
46,23
38,34
67,34
24,40
36,33
42,36
45,35
24,34
54,26
47,23
39,23
42,48
34,46
24,50
32,36
40,28
44,31
44,51
21,24
38,33
28,30
32,38
29,38
41,36
37,38
19,36
37,23
45,39
57,34
37,37
48,32
33,66
41,25
32,31
19,35
60,23
44,22
39,38
50,38
52,23
73,21
23,44
36,23
33,25
28,23
40,31
48,23
41,29
35,45
28,35
57,35
36,38
20,22
21,28
24,34
32,45
21,32
54,38
26,33
39,31
38,26
26,29
46,33
36,34
42,30
19,25
27,21
57,33
19,33
42,34
26,31
23,37
57,33
21,29
26,28
21,22
31,31
57,34
27,35
37,34
35,33
50,38
28,30
34,42
26,24
51,23
31,25
43,24
34,35
30,32
34,36
45,26
22,26
27,34
54,38
20,32
31,32
32,29
24,23
17,23
29,23
36,38
17,47
21,35
19,39
22,31
51,24
37,35
21,23
22,29
56,22
33,38
41,28
34,29
51,31
35,35
34,34
22,23
47,41
25,38
33,27
47,28
36,33
52,34
55,34
38,25
33,33
39,27
32,88
53,20
60,41
47,35
40,31
32,21
32,30
19,79
28,33
28,51
20,30
33,35
43,37
32,40
26,23
32,51
47,32
73,46
39,24
37,33
47,70
35,49
58,33
47,26
53,17
60,33
43,23
43,44
18,25
20,23
39,33
21,23
33,27
56,31
24,23
40,33
41,35
70,24
26,36
60,37
28,41
23,42
75,32
22,78
52,31
30,24
56,31
30,23
43,38
50,45
34,69
29,35
39,34
21,31
45,31
48,24
57,37
34,19
42,38
74,23
38,27
20,30
40,32
27,38
51,25
28,35
49,36
29,27
33,38
51,64
38,46
46,31
56,34
52,32
56,23
54,82
46,31
27,41
46,34
30,24
60,45
36,44
33,36
46,50
39,42
49,45
32,38
31,35
72,40
49,36
38,44
29,28
40,34
33,33
43,33
29,36
52,42
49,25
31,25
52,33
45,49
46,41
64,36
52,33
31,39
25,23
34,36
43,57
29,31
25,31
25,31
26,29
35,43
17,41
52,33
55,43
42,35
40,25
30,42
20,35
72,37
30,32
58,41
36,31
73,23
46,24
31,34
61,23
35,38
36,21
39,33
45,35
52,36
34,23
54,33
50,29
47,40
39,26
43,23
25,33
20,23
25,35
29,20
27,33
53,42
30,38
51,40
38,36
24,31
29,50
49,36
22,28
35,76
35,36
22,27
36,31
25,28
42,31
50,32
54,23
24,28
22,69
38,76
34,48
21,34
38,31
40,36
54,33
48,25
33,34
21,36
23,69
27,35
40,38
54,36
18,21
46,40
46,34
53,32
46,27
36,38
56,37
34,29
62,24
33,41
46,28
44,39
22,31
28,32
40,31
40,26
23,36
41,39
36,23
47,45
28,42
44,21
59,23
32,37
37,33
43,26
49,25
54,40
27,25
64,36
33,48
25,34
26,30
29,28
36,34
57,61
51,24
49,36
38,34
31,40
33,23
32,40
63,35
50,32
64,39
52,36
43,37
55,36
32,24
31,37
39,41
49,22
41,42
37,25
33,34
32,22
18,23
53,43
21,34
42,31
61,43
34,29
20,27
21,28
22,30
61,38
31,41
47,39
32,23
42,30
26,24
44,27
32,36
58,38
45,36
43,30
39,42
20,33
55,32
34,29
43,32
40,34
42,31
47,33
45,66
25,21
60,18
40,47
29,28
44,29
21,42
21,26
22,33
25,20
31,29
28,25
26,26
21,42
31,38
25,34
44,36
48,28
52,27
40,33
38,43
36,23
20,18
34,32
43,23
18,19
37,41
